date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,movingAverage,standardDeviation,BollingerBandsUpper,BollingerBandsLower,change,gain,loss,AvgU,AvgD,rs,rsi
2011-08-19,10.9,10.9,10.9,10.9,0.49,10.9,10.9,10.9,10.9,0.49,0.0,1.0,,,,,,,,,,,
2011-08-20,11.69,11.85,11.15,11.85,1.93,11.69,11.85,11.15,11.85,1.93,0.0,1.0,,,,,0.7899999999999991,0.7899999999999991,0.0,,,,
2011-08-21,11.7,11.7,11.7,11.7,0.09,11.7,11.7,11.7,11.7,0.09,0.0,1.0,,,,,0.009999999999999787,0.009999999999999787,0.0,,,,
2011-08-22,11.7,11.7,11.7,11.7,0.09,11.7,11.7,11.7,11.7,0.09,0.0,1.0,,,,,0.0,0.0,-0.0,,,,
2011-08-23,11.7,11.7,11.7,11.7,0.03,11.7,11.7,11.7,11.7,0.03,0.0,1.0,,,,,0.0,0.0,-0.0,,,,
2011-08-25,10.5,11.5,10.5,11.5,2.36,10.5,11.5,10.5,11.5,2.36,0.0,1.0,,,,,-1.1999999999999993,0.0,1.1999999999999993,,,,
2011-08-26,10.0,10.0,10.0,10.0,1.1,10.0,10.0,10.0,10.0,1.1,0.0,1.0,,,,,-0.5,0.0,0.5,,,,
2011-08-31,8.0,8.0,8.0,8.0,1.0,8.0,8.0,8.0,8.0,1.0,0.0,1.0,,,,,-2.0,0.0,2.0,,,,
2011-09-02,8.22,8.31,5.25,8.0,164.48,8.22,8.31,5.25,8.0,164.48,0.0,1.0,,,,,0.22000000000000064,0.22000000000000064,0.0,,,,
2011-09-03,8.88,8.88,8.0,8.12,79.76,8.88,8.88,8.0,8.12,79.76,0.0,1.0,,,,,0.6600000000000001,0.6600000000000001,0.0,,,,
2011-09-05,8.89,8.89,8.89,8.89,0.2,8.89,8.89,8.89,8.89,0.2,0.0,1.0,,,,,0.009999999999999787,0.009999999999999787,0.0,,,,
2011-09-07,8.0,8.0,8.0,8.0,21.0,8.0,8.0,8.0,8.0,21.0,0.0,1.0,,,,,-0.8900000000000006,0.0,0.8900000000000006,,,,
2011-09-08,8.5,8.5,8.5,8.5,3.0,8.5,8.5,8.5,8.5,3.0,0.0,1.0,,,,,0.5,0.5,0.0,,,,
2011-09-09,7.4,7.98,7.4,7.98,6.86,7.4,7.98,7.4,7.98,6.86,0.0,1.0,,,,,-1.0999999999999996,0.0,1.0999999999999996,,,,
2011-09-14,5.97,6.0,5.65,5.8,58.37,5.97,6.0,5.65,5.8,58.37,0.0,1.0,,,,,-1.4300000000000006,0.0,1.4300000000000006,0.1564285714285714,0.5085714285714286,0.3075842696629213,23.523093447905467
2011-09-15,5.53,5.72,5.52,5.58,61.15,5.53,5.72,5.52,5.58,61.15,0.0,1.0,,,,,-0.4399999999999995,0.0,0.4399999999999995,0.1452551020408163,0.503673469387755,0.28839141004862234,22.383835207170378
2011-09-16,5.13,5.24,5.0,5.12,80.14,5.13,5.24,5.0,5.12,80.14,0.0,1.0,,,,,-0.40000000000000036,0.0,0.40000000000000036,0.13487973760932942,0.49626822157434397,0.2717879802608389,21.37054166883196
2011-09-17,4.85,4.87,4.8,4.82,39.91,4.85,4.87,4.8,4.82,39.91,0.0,1.0,,,,,-0.28000000000000025,0.0,0.28000000000000025,0.12524547063723446,0.4808204914618909,0.26048280566503523,20.66532002613107
2011-09-18,4.87,4.87,4.87,4.87,0.3,4.87,4.87,4.87,4.87,0.3,0.0,1.0,,,,,0.020000000000000462,0.020000000000000462,0.0,0.11772793702028918,0.44647617064318446,0.26368246451023963,20.86619636780621
